icao,name,lat,lon,elev_ft,country,type
EBAM,Amougies Airfield,50.740101,3.4849,49,BE,small_airport
EBAR,Arlon-Sterpenich Ultralight Airfield,49.661981,5.885953,1138,BE,small_airport
EBAV,Avernas-le-Bauduin Ultralight Airfield,50.706147,5.067739,394,BE,small_airport
EBAW,Antwerp International Airport (Deurne),51.190667,4.463153,39,BE,medium_airport
EBBE,Beauvechain Air Base,50.758598,4.76833,370,BE,medium_airport
EBBL,Kleine Brogel Air Base,51.168301,5.47,200,BE,medium_airport
EBBN,Büllingen Airfield,50.415001,6.27639,2067,BE,small_airport
EBBR,Brussels Airport,50.901402,4.48444,175,BE,large_airport
EBBT,Brasschaat Airfield,51.34259,4.503451,76,BE,small_airport
EBBX,Jehonville Air Base,49.891483,5.227405,1514,BE,small_airport
EBBY,Baisy-Thy Ultralight Airfield,50.56814,4.435219,525,BE,small_airport
EBBZ,Buzet Aerodrome,50.542335,4.382472,522,BE,small_airport
EBCF,Cerfontaine Airfield,50.152802,4.38722,955,BE,small_airport
EBCI,Brussels South Charleroi Airport,50.461963,4.459562,614,BE,large_airport
EBCV,Chièvres Air Base,50.575802,3.831,194,BE,medium_airport
EBDT,Schaffen Airfield,51.004032,5.064697,100,BE,small_airport
EBFN,Koksijde Air Base,51.090302,2.65278,20,BE,medium_airport
EBFS,Florennes Air Base,50.2433013916,4.64583015442,935,BE,medium_airport
EBGB,Grimbergen Airfield,50.948546,4.39181,70,BE,small_airport
EBGG,Overboelare Airfield,50.7556,3.86389,56,BE,small_airport
EBHN,Hoevenen Airfield,51.306099,4.38722,10,BE,small_airport
EBIS,Ath/Isieres Airfield,50.663636,3.804681,98,BE,small_airport
EBKH,Balen-Keiheuvel Airfield,51.180957,5.221124,131,BE,small_airport
EBKT,Kortrijk-Wevelgem International Airport,50.818878,3.209551,55,BE,medium_airport
EBLE,Leopoldsburg Airfield,51.12,5.307222,207,BE,small_airport
EBLG,Liège Airport,50.638574,5.443897,659,BE,medium_airport
EBMB,Melsbroek Air Base,50.913419,4.491005,184,BE,small_airport
EBMG,Matagne-la-Petite Ultralight Airfield,50.104208,4.636063,787,BE,small_airport
EBML,Maillen Ultralight Airfield,50.375033,4.926489,886,BE,small_airport
EBMO,Moorsele Airfield,50.851285,3.147669,66,BE,small_airport
EBNM,Namur-Suarlée Airfield,50.489705,4.769697,594,BE,small_airport
EBOS,Ostend-Bruges International Airport,51.1998,2.874673,13,BE,large_airport
EBSG,Saint-Ghislain Airfield,50.458009,3.821,75,BE,small_airport
EBSH,Saint Hubert Airfield,50.0359,5.40425,1930,BE,small_airport
EBSL,Zutendaal Air Base,50.949352,5.593549,312,BE,small_airport
EBSM,Verrebroek Private Airstrip,51.268281,4.175453,10,BE,small_airport
EBSP,Spa-La Sauvenière Airfield,50.482006,5.913434,1581,BE,small_airport
EBST,Sint-Truiden / Brustem Airfield,50.790772,5.19958,246,BE,small_airport
EBSU,Saint Hubert Air Base,50.034401,5.44081,1930,BE,small_airport
EBTN,Goetsenhoven Airfield,50.7817,4.95778,246,BE,small_airport
EBTX,Theux (Verviers) Airfield,50.551099,5.853996,1099,BE,small_airport
EBTY,Maubray Airfield,50.531639,3.496185,161,BE,small_airport
EBUL,Ursel Air Base,51.144199,3.47556,95,BE,small_airport
EBWE,Weelde Air Base,51.394798,4.96019,105,BE,small_airport
EBZH,Kiewit Airfield Hasselt,50.970375,5.375331,141,BE,small_airport
EBZR,Oostmalle Airfield,51.269092,4.762428,53,BE,small_airport
EBZU,Zuienkerke Sport Aviation Airfield,51.25555,3.139858,16,BE,small_airport
EBZW,Genk Zwartberg Airfield,51.0154,5.52647,278,BE,small_airport
EDAB,Bautzen Airfield,51.193611,14.519722,568,DE,small_airport
EDAC,Leipzig–Altenburg Airport,50.981945,12.506389,640,DE,medium_airport
EDAD,Dessau Airfield,51.8318,12.184011,187,DE,small_airport
EDAE,Eisenhüttenstadt Airfield,52.197199,14.585696,149,DE,small_airport
EDAG,Großrückerswalde Airfield,50.644169,13.126389,2198,DE,small_airport
EDAH,Heringsdorf Airport,53.8787,14.1523,94,DE,medium_airport
EDAI,Sonderlandeplatz Segeletz,52.826668,12.541944,140,DE,small_airport
EDAJ,Gera-Leumnitz Airfield,50.881668,12.135833,1015,DE,small_airport
EDAK,Großenhain Airfield,51.308056,13.555556,417,DE,small_airport
EDAM,Merseburg Airfield,51.362564,11.94113,340,DE,small_airport
EDAN,Neustadt-Glewe Airfield,53.362444,11.613764,115,DE,small_airport
EDAO,Nordhausen Airfield,51.493475,10.837562,689,DE,small_airport
EDAP,Cottbus-Neuhausen Airfield,51.684723,14.423056,279,DE,small_airport
EDAQ,Halle-Oppin Airfield,51.552223,12.053889,350,DE,small_airport
EDAR,Pirna-Pratzschwitz Airfield,50.979603,13.908445,402,DE,small_airport
EDAS,Finsterwalde-Heinrichsruh Airfield,51.634641,13.67505,384,DE,small_airport
EDAT,Nardt Airfield,51.451111,14.199444,382,DE,small_airport
EDAU,Riesa-Göhlis Airport,51.29361,13.356111,322,DE,small_airport
EDAV,Eberswalde-Finow Airfield,52.826313,13.701324,116,DE,small_airport
EDAW,Roitzschjora Airfield,51.577778,12.494444,289,DE,small_airport
EDAX,Müritz Airpark,53.306389,12.752222,220,DE,small_airport
EDAY,Strausberg Airfield,52.580555,13.916667,262,DE,small_airport
EDAZ,Schönhagen Airfield,52.204631,13.159526,152,DE,small_airport
EDBA,Arnstadt-Alkersleben Airfield,50.841873,11.069934,1145,DE,small_airport
EDBC,Cochstedt Airport,51.8564,11.4203,599,DE,small_airport
EDBE,Brandenburg-Mühlenfeld Airfield,52.4375,12.59,100,DE,small_airport
EDBF,Fehrbellin Airfield,52.793493,12.760324,135,DE,small_airport
EDBG,Burg Airfield,52.241772,11.85619,173,DE,small_airport
EDBH,Stralsund-Barth Airport,54.338253,12.710515,23,DE,small_airport
EDBI,Zwickau Airfield,50.701668,12.453889,1050,DE,small_airport
EDBJ,Jena-Schöngleina Airfield,50.915345,11.714201,1228,DE,small_airport
EDBK,Kyritz Airfield,52.918888,12.425278,130,DE,small_airport
EDBL,Laucha Airfield,51.245834,11.693333,738,DE,small_airport
EDBM,Magdeburg City Airfield,52.073612,11.626389,268,DE,small_airport
EDBN,Neubrandenburg Trollenhagen Airport,53.6022,13.306,228,DE,medium_airport
EDBO,Oehna Airfield,51.899734,13.052809,287,DE,small_airport
EDBP,Pinnow Airfield,53.615276,11.561111,144,DE,small_airport
EDBQ,Bronkow Airfield,51.672075,13.960104,423,DE,small_airport
EDBR,Rothenburg/Görlitz Airfield,51.363335,14.95,515,DE,medium_airport
EDBS,Sömmerda-Dermsdorf Airfield,51.198414,11.191764,451,DE,small_airport
EDBT,Allstedt Airfield,51.380554,11.446667,932,DE,small_airport
EDBU,Pritzwalk-Sommersberg Airfield,53.180019,12.184553,289,DE,small_airport
EDBV,Stralsund Airfield,54.335835,13.043333,49,DE,small_airport
EDBW,Werneuchen Airfield,52.631668,13.766944,262,DE,small_airport
EDBX,Görlitz Airfield,51.15889,14.950278,778,DE,small_airport
EDBY,Schmoldow Airfield,53.972761,13.343377,105,DE,small_airport
EDBZ,Schwarzheide/Schipkau Airfield,51.491929,13.879366,331,DE,small_airport
EDCA,Anklam Otto Lilienthal Airfield,53.832801,13.668607,16,DE,small_airport
EDCB,Ballenstedt Airfield,51.745834,11.229722,535,DE,small_airport
EDCE,Müncheberg-Eggersdorf Airfield,52.482791,14.090738,223,DE,small_airport
EDCG,Rügen Airport,54.38347,13.325542,69,DE,small_airport
EDCH,Sprossen (Zeitz) Airfield,51.043407,12.231895,673,DE,small_airport
EDCI,Klix Airfield,51.271819,14.505708,486,DE,small_airport
EDCJ,Chemnitz/Jahnsdorf Airfield,50.747501,12.8375,1198,DE,small_airport
EDCK,Köthen Airport,51.723745,11.948826,305,DE,small_airport
EDCL,Klietz-Scharlibbe Airfield,52.709442,12.073333,95,DE,small_airport
EDCM,Kamenz Airfield,51.296944,14.1275,495,DE,small_airport
EDCO,Obermehler-Schlotheim Airfield,51.267776,10.634722,909,DE,small_airport
EDCP,Peenemünde Airport,54.15778,13.774444,7,DE,small_airport
EDCQ,Aschersleben Airfield,51.766945,11.498333,525,DE,small_airport
EDCR,Rerik-Zweedorf Airfield,54.081944,11.649167,30,DE,small_airport
EDCS,Saarmund Airfield,52.308334,13.100556,174,DE,small_airport
EDCT,Taucha Airfield,51.395,12.536944,492,DE,small_airport
EDCU,Güstrow Airfield,53.805279,12.230556,46,DE,small_airport
EDCV,Pasewalk Airfield,53.50528,13.948333,72,DE,small_airport
EDCW,Wismar Airfield,53.914444,11.499444,43,DE,small_airport
EDCX,Purkshof Airfield,54.161667,12.248611,66,DE,small_airport
EDCY,Spremberg-Welzow Airfield,51.575558,14.136944,375,DE,small_airport
EDDB,Berlin Brandenburg Airport,52.361738,13.502341,157,DE,large_airport
EDDC,Dresden Airport,51.134123,13.767831,755,DE,large_airport
EDDE,Erfurt-Weimar Airport,50.978281,10.960713,1036,DE,large_airport
EDDF,Frankfurt Main Airport,50.026706,8.55835,364,DE,large_airport
EDDG,Münster Osnabrück Airport,52.133816,7.688482,160,DE,large_airport
EDDH,Hamburg Helmut Schmidt Airport,53.630402,9.98823,53,DE,large_airport
EDDK,Cologne Bonn Airport,50.865898,7.14274,302,DE,large_airport
EDDL,Düsseldorf Airport,51.289501,6.76678,147,DE,large_airport
EDDM,Munich Airport,48.353802,11.7861,1487,DE,large_airport
EDDN,Nuremberg Airport,49.498699,11.078056,1046,DE,large_airport
EDDP,Leipzig/Halle Airport,51.420657,12.232705,465,DE,large_airport
EDDR,Saarbrücken Airport,49.214545,7.109735,1058,DE,medium_airport
EDDS,Stuttgart Airport,48.689899,9.22196,1276,DE,large_airport
EDDV,Hannover Airport,52.461102,9.68508,183,DE,large_airport
EDDW,Bremen Airport,53.046786,8.78932,14,DE,large_airport
EDEB,Bad Langensalza Airfield,51.129166,10.622222,650,DE,small_airport
EDEG,Gotha-Ost Airfield,50.970001,10.727778,991,DE,small_airport
EDEH,Herrenteich Airfield,49.345001,8.487778,308,DE,small_airport
EDEL,Langenlonsheim Airfield,49.908333,7.907778,295,DE,small_airport
EDEM,Mosenberg Airfeld,51.062746,9.42201,1296,DE,small_airport
EDEN,Bad Hersfeld Airfield,50.844055,9.707218,,DE,small_airport
EDEP,Heppenheim Glider Field,49.621944,8.624444,361,DE,small_airport
EDEQ,Mühlhausen Airfield,51.213055,10.548611,814,DE,small_airport
EDER,Wasserkuppe Airfield,50.498807,9.954166,2956,DE,small_airport
EDEW,Walldürn Airfield,49.581669,9.402222,1312,DE,small_airport
EDFA,Anspach-Taunus Airfield,50.288334,8.533889,1102,DE,small_airport
EDFB,Reichelsheim Airfield,50.337973,8.878984,397,DE,small_airport
EDFC,Aschaffenburg Airfield,49.938806,9.062777,410,DE,small_airport
EDFD,Bad Neustadt/Saale-Grasberg Airfield,50.306062,10.227284,997,DE,small_airport
EDFE,Frankfurt-Egelsbach Airport,49.96,8.643043,384,DE,medium_airport
EDFG,Gelnhausen Airfield,50.196738,9.167061,446,DE,small_airport
