icao,le_ident,he_ident,le_heading,he_heading,length_m,width_m,surface,lighted
EBAM,11,29,,,610,18,GRS,0
EBAR,09,27,85,265,150,30,GRS,0
EBAW,11,29,109.8,289.8,1510,45,ASP,1
EBBE,04L,22R,39,219,3074,45,ASP,1
EBBE,04R,22L,39,219,2450,23,ASP,1
EBBL,05L,23R,50,230,3096,45,PEM,1
EBBL,05R,23L,50.1,230.1,2400,23,PEM,0
EBBR,01,19,14,194,2987,50,ASP,1
EBBR,07L,25R,65,245,3638,45,ASP,1
EBBR,07R,25L,70,250,3211,45,ASP,1
EBBT,16,34,163,343,799,30,CON,0
EBBX,06,24,58.4,238.4,2400,45,CON,0
EBBY,05,23,,,252,30,GRS,0
EBBY,14,32,,,299,30,GRS,0
EBBZ,15,33,152,332,448,40,,0
EBCF,12L,30R,,,800,30,grass,0
EBCF,12R,30L,,,675,30,grass,0
EBCI,06,24,66,246,3055,45,ASP,1
EBCV,08,26,80,260,2498,45,ASP,1
EBDT,06,24,,,750,45,Turf,0
EBFN,02,20,,,799,30,CONC,0
EBFN,11,29,108,288,2678,50,PEM,1
EBFS,08L,26R,78.9,258.9,3385,45,ASP,1
EBFS,08R,26L,79.6,259.6,2250,23,ASP,1
EBGB,01,19,,,614,,GRS,0
EBGG,03,21,,,183,5,grass,0
EBHN,15,33,,,,,Grass,0
EBIS,17,35,,,151,50,G,0
EBKH,07,25,,,690,18,GRS,0
EBKT,06,24,62,242,1900,45,Asphalt,1
EBLE,08,26,,,600,18,Asphalt,0
EBLG,04L,22R,45,225,2340,45,ASP,1
EBLG,04R,22L,45,225,3690,45,ASP,1
EBML,09,27,,,400,,Grass,0
EBMO,04,22,,,198,9,grass,0
EBNM,06L,24R,64,244,629,50,grass,0
EBNM,06R,24L,64,244,690,25,ASP,0
EBOS,08,26,75,256,3200,45,CON,1
EBSG,09,27,88,268,700,23,ASP,0
EBSH,05,23,,,600,190,GRS,0
EBSH,14,32,,,799,150,GRS,0
EBSL,06,24,60,240,2980,45,ASP,0
EBSP,05,23,48,228,799,30,ASP,0
EBST,06,24,57.5,237.5,1096,50,ASP,0
EBSU,07,25,66.6,246.6,2599,45,CON,0
EBTN,06,24,60,240,655,30,ASPHALT,0
